NAME,HOX_D1,HOX_D2,HOX_D4,HOX_D7,HOX_D14
ILMN_1754990,-0.259076249,0.076655838,-0.015420515,-0.318359503,-0.034208007
ILMN_1669484,-0.063161175,-0.239084642,0.029866961,0.418648894,-0.002629853
ILMN_1694742,-0.239827662,0.051064297,-0.083451786,-0.312369338,0.065557964
ILMN_2175114,0.229874224,-0.037247089,-0.086748398,0.451821375,-0.081075884
ILMN_1710885,0.183811093,-0.001386635,0.138165483,0.368601048,0.062338598
ILMN_2354478,0.201334471,0.1158515,0.204749507,0.575530123,0.021423403
ILMN_2343310,0.077872761,0.132957119,0.187108069,0.468030624,0.129845616
ILMN_1712095,-0.312671775,-0.408055291,-0.09055533,-0.402547732,0.123040562
ILMN_1701875,-0.04651837,-0.195687613,-0.003613461,-0.334006858,-0.038911779
ILMN_2148290,-0.418869054,0.123582881,0.079884328,-0.453325272,0.04732839
ILMN_1690806,-0.10416837,-0.261030349,-0.115378065,-0.481543165,0.057550896
ILMN_2170353,-0.093759475,-0.280357774,-0.136467936,-0.571675442,-0.213963013
ILMN_1759872,-0.348127334,-0.080789674,-0.004169252,-0.397441652,0.106234426
ILMN_2270299,-0.279674624,0.043920223,-0.238250535,-0.546124433,-0.54491245
ILMN_2087060,0.061965483,-0.115375181,-0.029262391,0.302199225,0.0210354
ILMN_3195372,-0.269993999,-0.066757038,-0.142160349,-0.601491531,-0.212102259
ILMN_1778560,0.37215528,0.217253934,0.113069711,0.570773589,0.316287956
ILMN_2178244,0.356093308,0.007751105,0.09646384,0.524393896,0.22084348
ILMN_1677684,-0.156975206,0.050908285,0.051733694,0.69565142,-0.13050049
ILMN_2123567,-0.052738484,0.084718181,-0.037743435,-0.361185235,-0.129268657
ILMN_1780368,0.116302941,0.16381408,0.165719919,0.375164937,0.030300285
ILMN_1806456,-0.103030935,-0.137987563,-0.004573891,-0.407183135,0.062512796
ILMN_1775579,-0.173091945,-0.121933806,-0.023119325,-0.367442956,-0.092443101
ILMN_2410612,-0.032176889,-0.007022893,-0.043222619,0.428597401,0.028855823
ILMN_1694603,-0.119038958,-0.066150599,0.116428623,0.364723859,-0.074185772
ILMN_1654385,0.131525251,0.049868607,0.03008012,0.528962673,0.035937486
ILMN_1693538,-0.038799932,-0.212498049,-0.013699285,0.45119402,0.092857064
ILMN_1684929,-0.07922498,0.124323066,0.173357291,-0.537814534,-0.198752197
ILMN_3238560,-0.130256474,-0.129517246,-0.028503154,-0.366005641,0.078973132
ILMN_1696956,-0.05585288,0.021364322,-0.105957336,-0.351227534,0.025162932
ILMN_3284366,-0.306315588,0.072316597,-0.00640622,-0.410159438,0.024639105
ILMN_2163540,0.297763578,-0.021219858,0.068943649,0.358353441,0.057891161
ILMN_1682038,0.060720053,0.329477075,0.148797702,0.371824267,0.076773659
ILMN_1658333,-0.170799229,-0.328572265,-0.392099603,-0.723397698,0.108615475
ILMN_3241051,-0.071036147,-0.008489062,0.104906821,0.347468742,-0.084970483
ILMN_1785161,-0.09074929,-0.000817682,-0.008114315,-0.340936604,-0.047666408
ILMN_2077130,-0.347857418,0.023094417,-0.14261027,-0.364604065,-0.183491186
ILMN_2207533,-0.293892718,-0.058934604,-0.041298029,-0.318071379,0.037538016
ILMN_2319424,-0.214214819,-0.241720497,0.028360289,-0.389370645,-0.0765002
ILMN_1656560,0.017737706,0.045311988,-0.038122861,0.668851757,0.167080234
ILMN_1675848,-0.020829014,-0.25335513,-0.447112059,-0.782528107,-0.0210819
ILMN_1718297,-0.039140868,0.054788246,0.08831312,0.338743953,-0.002506819
ILMN_1691048,0.069363196,-0.243948003,0.226623122,-0.495159189,0.201407046
ILMN_2398235,0.073024243,0.007061949,0.101698175,0.363240761,-0.111144739
ILMN_1766024,-0.256877819,0.072926912,0.015108815,-0.393876869,-0.167706375
ILMN_1661733,0.152964425,-0.079282932,0.423924304,0.653142812,0.228366645
ILMN_1692852,-0.078984745,0.070559334,-0.148137748,-0.354452186,-0.1850831
ILMN_1753449,0.040511716,0.067177947,-0.007656628,0.29325128,0.030061954
ILMN_1681260,-0.169061304,1.014809223,0.152537895,-1.118691188,-0.046486354
ILMN_1713143,-0.169487364,0.052491616,0.030600818,-0.331997596,-0.002885577
ILMN_1657612,0.133169622,0.064921922,-0.001544398,0.290716163,0.078946077
ILMN_2134538,0.308744702,0.275918297,0.31694653,0.705626054,-0.656386788
ILMN_2232463,0.014318298,0.711358869,0.311877292,-0.614360246,0.154528273
ILMN_2392189,-0.055977785,0.114918697,0.297337113,0.443384484,0.026668232
ILMN_1749447,0.139047306,0.080162215,-0.104733544,0.49977301,-0.033593645
ILMN_1672961,-0.088116829,-0.131036462,-0.206544806,0.422085878,0.006811294
ILMN_3235632,-0.333817057,-0.01580752,-0.088798242,-0.371589553,-0.152639709
ILMN_3212833,0.206034321,-0.04365735,-0.230143455,0.461741535,0.087236
ILMN_1732873,0.252083653,0.133801978,0.16691277,0.366342176,0.24214671
ILMN_1724139,0.050761963,0.041525253,0.256120166,0.400467982,0.013200428
ILMN_3206390,-0.372894976,0.013132081,0.035419683,-0.421024599,-0.066046809
ILMN_1679700,0.273721329,0.085549835,0.011785149,0.45293201,-0.327667864
ILMN_2368585,0.370513746,-0.121674936,0.03550916,0.561307815,0.045153285
ILMN_1684726,0.244441141,0.004229051,0.21296973,0.347251304,0.092419954
ILMN_1680996,-0.144536344,-0.257367068,0.226453344,0.569207882,0.073739204
ILMN_1765696,-0.414909709,0.076410606,0.012079793,-0.445213495,0.024267652
ILMN_1714861,-0.028710893,-0.502756593,-0.244400677,-0.644183387,-0.118499257
ILMN_1662174,-0.21862844,0.036588705,-0.142132139,-0.36284874,0.040408728
ILMN_1794505,-0.308997969,0.003653507,0.079282789,-0.545429157,-0.028771861
ILMN_1709541,-0.081249096,-0.124268686,0.102995457,0.453967907,0.003906254
ILMN_1711156,-0.306173764,-0.079483143,0.009480893,-0.391487528,-0.036902269
ILMN_1660292,-0.011675494,0.111858093,-0.043839149,0.316802625,0.135645272
ILMN_2344298,-0.081009274,0.024836995,0.062883178,0.376606752,0.202553085
ILMN_1737163,-0.069153265,-0.381590931,-0.188464042,-0.298326491,0.217830271
ILMN_2154157,0.174658345,0.20158613,0.073041063,0.347414617,0.175145673
ILMN_1803652,0.185986734,0.210845083,0.052872426,0.298421655,0.104673838
ILMN_3240226,0.005277793,0.049090077,0.093627329,0.353546099,-0.044422909
ILMN_2130514,0.004717448,0.191516691,0.151191614,0.319102663,0.020556753
ILMN_1683755,-0.073706523,-0.224110877,-0.124051343,-0.343721069,0.123947902
ILMN_3227732,0.134521033,-0.250911509,-0.137558853,0.329394283,0.197527217
ILMN_1761519,0.087720968,-0.137000999,0.01644795,0.342701867,0.081616516
ILMN_1683405,0.043878706,0.135152784,0.111362072,0.514339419,0.054775296
ILMN_2406035,0.090156856,-0.035770472,-0.02830973,-0.569767059,0.14200462
ILMN_1756779,-0.014276373,0.220172522,0.05198848,-0.39920558,-0.586997634
ILMN_1741176,-0.095433783,0.154089771,0.124847307,-0.542953955,-0.037538754
ILMN_1754476,0.184865183,0.419632978,0.237167056,0.4289186,0.24861854
ILMN_1766405,0.042752685,-0.090438272,0.263418105,0.465240525,0.013016685
ILMN_1658369,-0.282674773,-0.130266356,-0.270474417,-0.301505733,-0.24918657
ILMN_2175764,0.14637566,0.020687857,-0.011173813,0.366086613,0.118526355
ILMN_1802808,-0.072440955,-0.131994062,-0.069178421,0.403624315,0.016298973
ILMN_1710482,0.026407548,0.045345161,0.248808831,0.534005927,0.033426811
ILMN_1719938,0.168515339,0.053314897,0.089447761,0.516126114,0.165047231
ILMN_1652230,-0.316544352,0.059581378,-0.062497188,-0.284636465,-0.053383482
ILMN_2320906,0.158292491,0.168979292,0.417422865,0.412499129,-0.388049183
ILMN_1685005,-0.1837212,-0.268877138,-0.260424665,-0.361860635,-0.053680536
ILMN_2393712,0.131578692,0.165640771,0.250614133,0.591113556,0.018091472
ILMN_1801216,-0.080727466,-0.005264629,-0.069446656,-0.444260099,0.035386645
ILMN_1657708,-0.044284062,-0.113691348,0.144898313,-0.351460733,0.020453685
ILMN_2380163,0.000724969,-0.247189998,0.099516664,0.406787325,-0.045559782
ILMN_3243381,0.055905602,-0.042695917,0.040218006,0.401552562,0.200791256
ILMN_2262444,0.08416826,0.028461251,0.112062883,0.50326302,0.175645653
ILMN_1775566,0.019979637,-0.037638502,-0.004775147,0.356719578,0.059433996
ILMN_1676005,-0.1174617,-0.001432626,-0.104265095,-0.364738361,-0.192657619
ILMN_1772796,-0.156835245,0.120555325,-0.12339272,-0.441351407,-0.203084855
ILMN_1755138,0.150466441,0.087532923,0.23837988,0.386489558,0.131249037
ILMN_1815666,-0.17501966,-0.227370496,-0.154670281,-0.411859521,0.031102204
ILMN_3257030,0.267226497,0.299629677,0.191516127,0.598210308,-0.644010653
ILMN_1787576,0.162512161,0.057135056,0.135219204,0.318415813,0.110155767
ILMN_1746525,0.432096705,0.209969415,0.299237,0.47364725,-0.45674337
ILMN_2161286,0.243378658,0.145189843,0.247962303,0.603588813,-0.120950868
ILMN_2346339,0.248994206,-0.124632463,0.373131992,0.743464468,0.226548686
ILMN_1775036,-0.141859374,0.290381661,0.107936374,-0.333409436,0.073557236
ILMN_1765880,-0.210271467,-0.043419993,-0.104032557,-0.356402605,-0.030666539
ILMN_1657495,0.045233357,-0.17789879,-0.053729276,0.354230094,0.276654103
ILMN_2298365,-0.117523443,-0.062714858,-0.012531852,-0.354607325,-0.313282012
ILMN_1738243,-0.283066683,0.024842947,-0.097080296,-0.273206137,-0.110203102
