ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1719256,0.28,0.25,0.38,0.18,0.19
ILMN_2041046,0.28,0.25,0.38,0.18,0.19
ILMN_2072296,-0.05,0.16,0.36,0.24,0.23
ILMN_1756326,-0.05,0.16,0.36,0.24,0.23
ILMN_1810725,0.06,0.36,1.05,0.56,0.23
ILMN_1667966,0.06,0.36,1.05,0.56,0.23
ILMN_1712413,0.3,0.27,0.4,0.12,-0.13
ILMN_2108357,0.3,0.27,0.4,0.12,-0.13
ILMN_1669831,0.13,-0.02,0.05,0.01,0.28
ILMN_3244157,0.13,0,0.17,0.42,0.11
ILMN_1659017,0.03,0.04,-0.19,-0.29,-0.16
ILMN_1678501,0.1,-0.26,-0.19,-0.37,-0.38
ILMN_1814526,0.1,-0.26,-0.19,-0.37,-0.38
ILMN_1787378,0.1,-0.26,-0.19,-0.37,-0.38
ILMN_2311278,0.1,-0.26,-0.19,-0.37,-0.38
ILMN_1758085,0.17,0.14,0.38,0.28,0.3
ILMN_1715616,0.17,0.14,0.38,0.28,0.3
ILMN_1778890,0.17,0.14,0.38,0.28,0.3
ILMN_2411608,0.17,0.14,0.38,0.28,0.3
ILMN_2293167,0.17,0.14,0.38,0.28,0.3
ILMN_1769282,-0.06,-0.27,-0.21,-0.34,-0.33
ILMN_2251759,-0.06,-0.27,-0.21,-0.34,-0.33
ILMN_2330787,-0.06,-0.27,-0.21,-0.34,-0.33
ILMN_2136635,0.03,-0.16,-0.32,-0.07,0.02
ILMN_2401927,0.05,-0.32,-0.17,-0.34,-0.08
ILMN_1652309,0.05,-0.32,-0.17,-0.34,-0.08
ILMN_2081883,-0.06,-0.23,-0.16,-0.33,-0.25
ILMN_1662852,-0.06,-0.23,-0.16,-0.33,-0.25
ILMN_1708098,-0.09,-0.24,-0.42,-0.15,0.01
ILMN_1801441,-0.12,-0.17,-0.34,-0.21,-0.19
ILMN_1806752,0.02,0.12,0.48,0.07,0.1
ILMN_1678403,-0.24,-0.07,-0.34,-0.32,-0.36
ILMN_2104295,-0.24,-0.07,-0.34,-0.32,-0.36
ILMN_1708934,0.01,-0.06,-1.08,-1,-1.4
ILMN_1721138,0.01,0.2,0.28,0.05,-0.1
ILMN_1728009,0.11,0.09,0.1,0.48,0.21
ILMN_1690170,-0.01,-0.02,-0.18,-0.29,-0.24
ILMN_1718446,-0.09,-0.15,-0.26,-0.49,-0.39
ILMN_1669044,-0.09,-0.15,-0.26,-0.49,-0.39
ILMN_1757440,-0.09,-0.15,-0.26,-0.49,-0.39
ILMN_1694432,-0.21,-0.12,-0.25,-0.34,-0.52
ILMN_1697189,-0.24,-0.26,-0.32,-0.6,-0.2
ILMN_1754656,-0.26,-0.04,-0.31,-0.26,-0.27
ILMN_1710092,-0.45,-0.23,-0.35,-0.5,-0.22
ILMN_1800619,0.41,-0.12,0.27,0.17,0.34
ILMN_1797693,0.41,-0.12,0.27,0.17,0.34
ILMN_1693410,0.41,-0.12,0.27,0.17,0.34
ILMN_1803570,0.41,-0.12,0.27,0.17,0.34
ILMN_1769382,-0.14,0.06,-0.26,-0.14,-0.15
ILMN_1743662,-0.14,0.06,-0.26,-0.14,-0.15
ILMN_1651557,0.3,0.26,0.37,0.18,0.21
ILMN_1796113,-0.09,-0.15,-0.16,-0.3,0.09
ILMN_1750102,0.13,0.1,0.32,0.05,0.09
ILMN_1814552,-0.24,-0.15,-0.46,-0.48,-0.49
ILMN_3247848,-0.24,-0.15,-0.46,-0.48,-0.49
ILMN_1760294,0.06,-0.07,-0.07,-0.07,-0.39
ILMN_1793672,-0.22,-0.01,-0.18,-0.45,-0.18
ILMN_2101034,-0.09,-0.25,-0.37,-0.5,-0.43
ILMN_1787514,-0.09,-0.25,-0.37,-0.5,-0.43
ILMN_1774982,0.19,-0.1,-0.32,-0.47,-0.2
ILMN_1711171,0,-0.1,-0.15,0,-0.34
ILMN_3247552,0.21,0.23,0.09,0.13,0.34
ILMN_1723834,0.21,0.23,0.09,0.13,0.34
ILMN_1783285,0.37,0.14,0.35,0.39,0.36
ILMN_1751776,0.13,-0.01,0.47,0.42,0.31
ILMN_2359742,-0.16,-0.1,-0.38,-0.18,-0.11
ILMN_1696360,-0.16,-0.1,-0.38,-0.18,-0.11
ILMN_3250243,-0.06,-0.13,0.05,0.27,0.05
ILMN_3251137,-0.06,-0.13,0.05,0.27,0.05
ILMN_2049364,-0.06,-0.13,0.05,0.27,0.05
ILMN_1762888,-0.06,-0.13,0.05,0.27,0.05
ILMN_1812995,0.04,-0.1,-0.08,0.13,0.34
ILMN_2374036,0.04,-0.1,-0.08,0.13,0.34
ILMN_1694757,0.04,-0.1,-0.08,0.13,0.34
ILMN_2054461,-0.13,-0.13,-0.26,-0.01,-0.2
ILMN_1714167,0.12,-0.13,-0.46,-0.31,0.04
ILMN_2312194,0.12,-0.13,-0.46,-0.31,0.04
ILMN_1651987,-0.03,0.06,-0.05,-0.02,-0.31
ILMN_2078547,0.06,-0.08,-0.06,-0.33,-0.12
ILMN_3238680,0.06,-0.08,-0.06,-0.33,-0.12
