ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1696568,-0.21,0.2,0.18,-0.48,-0.27
ILMN_1758784,-0.21,0.2,0.18,-0.48,-0.27
ILMN_2340565,-0.21,0.2,0.18,-0.48,-0.27
ILMN_1724699,-0.12,-0.07,0.11,0.26,-0.82
ILMN_2225595,-0.12,-0.07,0.11,0.26,-0.82
ILMN_2277246,-0.08,-0.17,-0.08,-0.6,0.23
ILMN_1705107,-0.08,-0.17,-0.08,-0.6,0.23
ILMN_1700310,-0.08,-0.17,-0.08,-0.6,0.23
ILMN_2376822,-0.08,-0.17,-0.08,-0.6,0.23
ILMN_1693538,-0.04,-0.21,-0.01,0.45,0.09
ILMN_1669928,-0.08,0.04,-0.08,-0.31,0.04
ILMN_2230579,-0.1,-0.13,-0.22,-0.21,-0.48
ILMN_2230577,-0.1,-0.13,-0.22,-0.21,-0.48
ILMN_1782751,0.17,0.14,0.06,0.39,0.24
ILMN_1718297,-0.04,0.05,0.09,0.34,0
ILMN_1799563,-0.03,0.12,0,-0.1,-0.57
ILMN_2157709,-0.03,0.12,0,-0.1,-0.57
ILMN_1801853,0.15,0.14,0.17,0.46,0.06
ILMN_1654013,-0.12,-0.16,-0.17,-0.42,0.2
ILMN_1780368,0.12,0.16,0.17,0.38,0.03
ILMN_3216336,0.13,-0.15,-0.08,0.31,-0.32
ILMN_3284404,0.13,-0.15,-0.08,0.31,-0.32
ILMN_1693210,-0.21,0.12,-0.12,-0.29,0.01
ILMN_1775579,-0.17,-0.12,-0.02,-0.37,-0.09
ILMN_2205350,-0.23,-0.11,-0.21,-0.3,-0.61
ILMN_1659524,-0.23,-0.11,-0.21,-0.3,-0.61
ILMN_1715607,0.14,0.26,0.11,0.47,0.22
ILMN_1704261,0.14,-0.26,0.16,0.29,-0.42
ILMN_1678775,0.17,0.22,-0.05,-0.12,-0.57
ILMN_1693781,0.17,0.22,-0.05,-0.12,-0.57
ILMN_3250023,0.17,0.22,-0.05,-0.12,-0.57
ILMN_1711702,0.17,0.22,-0.05,-0.12,-0.57
ILMN_1670101,0.17,0.22,-0.05,-0.12,-0.57
ILMN_3250902,0.17,0.22,-0.05,-0.12,-0.57
ILMN_1779376,-0.14,0.41,0.09,-0.53,0.11
ILMN_1684726,0.24,0,0.21,0.35,0.09
ILMN_1682567,0.16,0,0.37,0.6,0.09
ILMN_1652650,-0.09,-0.12,-0.11,-0.44,0.21
ILMN_1810782,-0.09,-0.12,-0.11,-0.44,0.21
ILMN_1808501,-0.09,-0.12,-0.11,-0.44,0.21
ILMN_1749789,0.14,0.07,0.1,0.29,0.11
ILMN_1758623,0.16,0.13,0.49,0.2,0.66
ILMN_1651496,0.16,0.13,0.49,0.2,0.66
ILMN_1777405,0.16,0.13,0.49,0.2,0.66
ILMN_2041101,0.13,-0.14,-0.17,-0.31,-0.79
ILMN_1698100,0.13,-0.14,-0.17,-0.31,-0.79
ILMN_1681283,-0.21,0.19,0.1,-0.17,-0.78
ILMN_1763260,-0.21,0.19,0.1,-0.17,-0.78
ILMN_2379788,-0.21,0.19,0.1,-0.17,-0.78
ILMN_2231242,0.18,0.31,-0.14,-0.24,-0.77
ILMN_1791466,0.18,0.31,-0.14,-0.24,-0.77
ILMN_1654268,0.07,0.14,-0.08,-0.2,-0.66
ILMN_2219712,0.07,0.14,-0.08,-0.2,-0.66
ILMN_2101920,0.08,0.4,-0.18,0.17,-0.69
ILMN_2101928,0.08,0.4,-0.18,0.17,-0.69
ILMN_3246409,0.08,0.4,-0.18,0.17,-0.69
ILMN_2081465,0.03,0.05,0.25,0.53,0.03
ILMN_1710482,0.03,0.05,0.25,0.53,0.03
ILMN_1696230,-0.23,-0.16,-0.16,-0.38,-0.08
ILMN_2155480,-0.23,-0.16,-0.16,-0.38,-0.08
ILMN_1781182,-0.23,-0.16,-0.16,-0.38,-0.08
ILMN_1727005,0.47,0.22,0.13,0.48,0.17
ILMN_2185022,0.47,0.22,0.13,0.48,0.17
ILMN_2092516,0.09,-0.05,-0.05,0,-0.63
ILMN_1690894,0.09,-0.05,-0.05,0,-0.63
ILMN_1727142,0.01,-0.25,0.1,0.45,-0.45
ILMN_2172588,0.01,-0.25,0.1,0.45,-0.45
ILMN_1747344,0.19,0.08,0.13,0.31,0.21
ILMN_1659913,-0.15,0.26,0.13,-0.48,0.11
ILMN_1746090,0.11,0.16,0.36,0.44,0.16
ILMN_1723884,-0.23,0.11,0.11,0.4,0.26
ILMN_1719518,-0.23,0.11,0.11,0.4,0.26
ILMN_2175112,0.23,-0.05,-0.09,0.45,-0.08
ILMN_2175114,0.23,-0.05,-0.09,0.45,-0.08
ILMN_1676005,-0.12,0,-0.1,-0.36,-0.19
ILMN_1763907,-0.05,0.17,-0.15,-0.39,-0.43
ILMN_1743187,-0.05,-0.1,-0.01,0.1,-0.39
ILMN_1803408,0.05,-0.15,-0.26,-0.36,0.08
ILMN_1730848,0.05,-0.15,-0.26,-0.36,0.08
ILMN_3235148,0.2,-0.02,0,0.16,-0.61
ILMN_1665823,0.01,-0.04,-0.25,-0.04,-0.71
ILMN_1688892,0.1,0.07,-0.12,-0.57,0.27
ILMN_2406035,0.1,0.07,-0.12,-0.57,0.27
ILMN_2293594,0.1,0.07,-0.12,-0.57,0.27
ILMN_1704247,0.1,0.07,-0.12,-0.57,0.27
ILMN_2175764,0.15,0.02,-0.01,0.37,0.12
ILMN_1698735,0.15,0.02,-0.01,0.37,0.12
ILMN_1665909,-0.44,0.07,-0.18,-0.58,-0.08
ILMN_1683405,0.04,0.14,0.11,0.51,0.05
ILMN_1788211,0.08,-0.12,0.13,0.85,-0.03
ILMN_1757011,-0.04,-0.05,-0.05,-0.06,-0.55
ILMN_2160210,0.16,-0.26,-0.16,0.11,-0.64
ILMN_2160209,0.16,-0.26,-0.16,0.11,-0.64
ILMN_3249032,0.16,-0.26,-0.16,0.11,-0.64
ILMN_2112460,-0.19,0.1,-0.19,-0.25,-0.77
ILMN_1777564,-0.19,0.1,-0.19,-0.25,-0.77
ILMN_1737298,0.05,-0.15,0.03,0.42,0.08
ILMN_1803615,0.1,0.12,0.16,0.37,0.16
ILMN_1669321,0.1,0.12,0.16,0.37,0.16
ILMN_2319000,0.1,0.12,0.16,0.37,0.16
ILMN_2307740,0.06,-0.27,-0.04,0.12,-0.54
ILMN_2307744,0.06,-0.27,-0.04,0.12,-0.54
ILMN_2340877,0.37,0.07,-0.06,0.45,0.17
ILMN_1683298,0.37,0.07,-0.06,0.45,0.17
ILMN_1721963,0.37,0.07,-0.06,0.45,0.17
ILMN_2277877,0.37,0.07,-0.06,0.45,0.17
ILMN_1712095,-0.31,-0.41,-0.09,-0.4,0.12
ILMN_1802360,0.06,0.05,0.03,0.48,-0.04
ILMN_2226415,-0.14,0.19,-0.2,-0.15,-0.31
ILMN_3243945,-0.14,0.19,-0.2,-0.15,-0.31
ILMN_1809662,-0.14,0.19,-0.2,-0.15,-0.31
ILMN_1782377,-0.04,-0.02,0.03,-0.11,-0.46
ILMN_2184007,-0.04,-0.02,0.03,-0.11,-0.46
ILMN_3245015,0.06,0.1,-0.02,0.17,-0.43
ILMN_1694666,-0.23,-0.39,-0.12,0.19,-0.44
ILMN_1655722,-0.23,-0.39,-0.12,0.19,-0.44
ILMN_3251676,-0.23,-0.39,-0.12,0.19,-0.44
ILMN_1797585,-0.08,0.14,0.13,0.43,-0.24
ILMN_2093027,-0.08,0.14,0.13,0.43,-0.24
ILMN_2203453,0.15,-0.1,-0.17,-0.1,-0.52
ILMN_1737413,0.15,-0.1,-0.17,-0.1,-0.52
ILMN_2330243,-0.11,0.16,-0.22,-0.39,0.08
ILMN_1654068,-0.11,0.16,-0.22,-0.39,0.08
ILMN_1655894,-0.41,-0.67,0.6,1.49,0.24
ILMN_1700860,-0.41,-0.67,0.6,1.49,0.24
ILMN_1805526,-0.41,-0.67,0.6,1.49,0.24
ILMN_2172221,0.02,-0.16,-0.09,-0.11,-0.41
ILMN_1732080,0.02,-0.16,-0.09,-0.11,-0.41
ILMN_1653822,-0.05,0.25,0.25,-0.1,-0.43
ILMN_2051373,-0.05,0.25,0.25,-0.1,-0.43
ILMN_1731783,-0.1,-0.19,0.07,0.36,0.11
ILMN_2415189,-0.1,-0.19,0.07,0.36,0.11
ILMN_1775566,-0.1,-0.19,0.07,0.36,0.11
ILMN_2234873,-0.18,-0.09,-0.13,-0.4,-0.17
ILMN_2414007,-0.18,-0.09,-0.13,-0.4,-0.17
ILMN_1694012,-0.18,-0.09,-0.13,-0.4,-0.17
ILMN_1657884,-0.18,-0.09,-0.13,-0.4,-0.17
ILMN_2322458,0.18,0.13,0.09,-0.31,-0.32
ILMN_1729775,0.18,0.13,0.09,-0.31,-0.32
ILMN_1718128,0.1,0.11,-0.12,-0.18,-0.36
ILMN_2223293,0.1,0.11,-0.12,-0.18,-0.36
ILMN_2406532,0.08,-0.13,-0.02,-0.04,-0.58
ILMN_2270053,0.08,-0.13,-0.02,-0.04,-0.58
ILMN_2342033,0.08,-0.13,-0.02,-0.04,-0.58
ILMN_1690307,-0.15,0.09,0.03,-0.26,-0.6
ILMN_2118910,-0.15,0.09,0.03,-0.26,-0.6
ILMN_1799367,0.08,0.21,0.17,0.47,0.2
ILMN_2374362,0.19,0.25,0.08,0.26,-0.43
ILMN_1660440,0.19,0.25,0.08,0.26,-0.43
ILMN_1785661,0.19,0.25,0.08,0.26,-0.43
ILMN_1668336,0.19,0.25,0.08,0.26,-0.43
ILMN_1727287,0.28,0.28,-0.07,0.31,0.19
ILMN_1700591,0.28,0.28,-0.07,0.31,0.19
ILMN_2361185,0.28,0.28,-0.07,0.31,0.19
ILMN_2361186,0.28,0.28,-0.07,0.31,0.19
ILMN_1732985,0.28,0.28,-0.07,0.31,0.19
ILMN_2268618,0.28,0.28,-0.07,0.31,0.19
ILMN_2398388,-0.11,-0.13,-0.08,-0.13,-0.45
ILMN_1658472,-0.11,-0.13,-0.08,-0.13,-0.45
